dive,time_UTC,dateTime_UTC,latitude,longitude,label
48,739518.538969907,23-Sep-2024 12:56:07,43.8709,-125.392516666667,stop
49,739518.543206019,23-Sep-2024 13:02:13,43.8697666666667,-125.392883333333,start
49,739518.761921296,23-Sep-2024 18:17:10,43.8392666666667,-125.458683333333,stop
50,739518.766331019,23-Sep-2024 18:23:31,43.8375,-125.45945,start
50,739518.995590278,23-Sep-2024 23:53:39,43.8075,-125.5227,stop
51,739519.000034722,24-Sep-2024 00:00:03,43.8065833333333,-125.523066666667,start
51,739519.229594907,24-Sep-2024 05:30:37,43.7726333333333,-125.598416666667,stop
52,739519.233645833,24-Sep-2024 05:36:27,43.7714166666667,-125.59955,start
52,739519.435856481,24-Sep-2024 10:27:38,43.7707333333333,-125.58115,stop
53,739519.445486111,24-Sep-2024 10:41:30,43.76925,-125.582466666667,start
53,739519.672685185,24-Sep-2024 16:08:40,43.74995,-125.6645,stop
54,739519.678229167,24-Sep-2024 16:16:39,43.7489333333333,-125.665983333333,start
54,739519.846944444,24-Sep-2024 20:19:36,43.7162333333333,-125.724516666667,stop
55,739519.850949074,24-Sep-2024 20:25:22,43.7161,-125.724866666667,start
55,739520.093136574,25-Sep-2024 02:14:07,43.6939833333333,-125.807033333333,stop
56,739520.098009259,25-Sep-2024 02:21:08,43.69305,-125.808,start
56,739520.309201389,25-Sep-2024 07:25:15,43.65065,-125.863483333333,stop
57,739520.313449074,25-Sep-2024 07:31:22,43.6500666666667,-125.863833333333,start
57,739520.532372685,25-Sep-2024 12:46:37,43.6476666666667,-125.9395,stop
58,739520.540289352,25-Sep-2024 12:58:01,43.6477333333333,-125.9403,start
58,739520.754039352,25-Sep-2024 18:05:49,43.6222166666667,-125.983,stop
59,739520.758368056,25-Sep-2024 18:12:03,43.6221833333333,-125.98265,start
59,739520.972372685,25-Sep-2024 23:20:13,43.6031166666667,-126.02345,stop
60,739520.976724537,25-Sep-2024 23:26:29,43.6029833333333,-126.023883333333,start
60,739521.191400463,26-Sep-2024 04:35:37,43.5777833333333,-126.045516666667,stop
61,739521.200335648,26-Sep-2024 04:48:29,43.5786,-126.0482,start
61,739521.417604167,26-Sep-2024 10:01:21,43.5491333333333,-126.081683333333,stop
62,739521.423414352,26-Sep-2024 10:09:43,43.5494333333333,-126.081616666667,start
62,739521.642789352,26-Sep-2024 15:25:37,43.5470166666667,-126.043383333333,stop
63,739521.647291667,26-Sep-2024 15:32:06,43.5475333333333,-126.044266666667,start
63,739521.864236111,26-Sep-2024 20:44:30,43.5227833333333,-126.037233333333,stop
64,739521.872407407,26-Sep-2024 20:56:16,43.5241666666667,-126.037666666667,start
64,739522.09119213,27-Sep-2024 02:11:19,43.5103666666667,-126.0149,stop
65,739522.09587963,27-Sep-2024 02:18:04,43.5104833333333,-126.016016666667,start
65,739522.306018519,27-Sep-2024 07:20:40,43.4857166666667,-125.9972,stop
66,739522.312395833,27-Sep-2024 07:29:51,43.4849,-125.997166666667,start
66,739522.519513889,27-Sep-2024 12:28:06,43.4641833333333,-125.971433333333,stop
67,739522.525775463,27-Sep-2024 12:37:07,43.46345,-125.9733,start
67,739522.733761574,27-Sep-2024 17:36:37,43.4603833333333,-125.9366,stop
68,739522.739270833,27-Sep-2024 17:44:33,43.4606833333333,-125.937816666667,start
68,739522.952303241,27-Sep-2024 22:51:19,43.4340833333333,-125.9089,stop
69,739522.959780093,27-Sep-2024 23:02:05,43.4321666666667,-125.9113,start
69,739523.174375,28-Sep-2024 04:11:06,43.42825,-125.874816666667,stop
70,739523.180219907,28-Sep-2024 04:19:31,43.4275333333333,-125.87675,start
70,739523.393368056,28-Sep-2024 09:26:27,43.402,-125.8444,stop
71,739523.397777778,28-Sep-2024 09:32:48,43.4016666666667,-125.8465,start
71,739523.613414352,28-Sep-2024 14:43:19,43.3860666666667,-125.807766666667,stop
72,739523.617916667,28-Sep-2024 14:49:48,43.3858666666667,-125.809133333333,start
72,739523.828240741,28-Sep-2024 19:52:40,43.3711,-125.769616666667,stop
73,739523.832685185,28-Sep-2024 19:59:04,43.3695833333333,-125.771066666667,start
73,739524.036122685,29-Sep-2024 00:52:01,43.3408666666667,-125.72785,stop
74,739524.040798611,29-Sep-2024 00:58:45,43.3403,-125.730366666667,start
74,739524.250127315,29-Sep-2024 06:00:11,43.3240166666667,-125.6867,stop
75,739524.255081019,29-Sep-2024 06:07:19,43.32425,-125.68775,start
75,739524.468784722,29-Sep-2024 11:15:03,43.2948166666667,-125.6354,stop
76,739524.476076389,29-Sep-2024 11:25:33,43.2930833333333,-125.635666666667,start
76,739524.659803241,29-Sep-2024 15:50:07,43.2732833333333,-125.581416666667,stop
77,739524.664594907,29-Sep-2024 15:57:01,43.2729333333333,-125.58185,start
77,739524.870925926,29-Sep-2024 20:54:08,43.2458333333333,-125.52745,stop
78,739524.875590278,29-Sep-2024 21:00:51,43.2452,-125.52805,start
78,739525.081064815,30-Sep-2024 01:56:44,43.2027333333333,-125.470283333333,stop
79,739525.085555556,30-Sep-2024 02:03:12,43.20195,-125.470616666667,start
79,739525.295081018,30-Sep-2024 07:04:55,43.175,-125.410433333333,stop
80,739525.299768519,30-Sep-2024 07:11:40,43.1732166666667,-125.410883333333,start
80,739525.506215278,30-Sep-2024 12:08:57,43.1340666666667,-125.344866666667,stop
81,739525.513090278,30-Sep-2024 12:18:51,43.1325833333333,-125.345433333333,start
81,739525.723032407,30-Sep-2024 17:21:10,43.1004166666667,-125.282466666667,stop
82,739525.727638889,30-Sep-2024 17:27:48,43.0993833333333,-125.282416666667,start
82,739525.931643519,30-Sep-2024 22:21:34,43.0713833333333,-125.225616666667,stop
83,739525.936053241,30-Sep-2024 22:27:55,43.0693666666667,-125.225333333333,start
83,739526.142789352,01-Oct-2024 03:25:37,43.0298833333333,-125.1714,stop
84,739526.147743056,01-Oct-2024 03:32:45,43.0288666666667,-125.171983333333,start
84,739526.354918981,01-Oct-2024 08:31:05,43.0089666666667,-125.122266666667,stop
85,739526.363541667,01-Oct-2024 08:43:30,43.008,-125.121716666667,start
85,739526.576875,01-Oct-2024 13:50:42,42.97445,-125.0675,stop
86,739526.58181713,01-Oct-2024 13:57:49,42.9728166666667,-125.067683333333,start
