dive,time_UTC,dateTime_UTC,latitude,longitude,label
88,739503.817025463,08-Sep-2024 19:36:31,43.9711166666667,-127.932383333333,stop
89,739503.82125,08-Sep-2024 19:42:36,43.9705833333333,-127.9316,start
89,739504.033287037,09-Sep-2024 00:47:56,43.95295,-127.8554,stop
90,739504.037534722,09-Sep-2024 00:54:03,43.95175,-127.854533333333,start
90,739504.254212963,09-Sep-2024 06:06:04,43.9192333333333,-127.782183333333,stop
91,739504.258518519,09-Sep-2024 06:12:16,43.9183833333333,-127.7813,start
91,739504.464525463,09-Sep-2024 11:08:55,43.9068833333333,-127.700483333333,stop
92,739504.468553241,09-Sep-2024 11:14:43,43.9065333333333,-127.698966666667,start
92,739504.676446759,09-Sep-2024 16:14:05,43.8761333333333,-127.630433333333,stop
93,739504.682094907,09-Sep-2024 16:22:13,43.8751333333333,-127.62925,start
93,739504.891516204,09-Sep-2024 21:23:47,43.8571666666667,-127.552966666667,stop
94,739504.891516204,09-Sep-2024 21:23:47,43.8571666666667,-127.552966666667,start
94,739505.1065625,10-Sep-2024 02:33:27,43.8300666666667,-127.484483333333,stop
95,739505.1065625,10-Sep-2024 02:33:27,43.8300666666667,-127.484483333333,start
95,739505.33375,10-Sep-2024 08:00:36,43.8047333333333,-127.4133,stop
96,739505.33375,10-Sep-2024 08:00:36,43.8047333333333,-127.4133,start
96,739505.566377315,10-Sep-2024 13:35:35,43.7853833333333,-127.3417,stop
97,739505.566377315,10-Sep-2024 13:35:35,43.7853833333333,-127.3417,start
97,739505.801493056,10-Sep-2024 19:14:09,43.76295,-127.268833333333,stop
98,739505.801493056,10-Sep-2024 19:14:09,43.76295,-127.268833333333,start
98,739506.034444444,11-Sep-2024 00:49:36,43.7454,-127.201416666667,stop
99,739506.034444444,11-Sep-2024 00:49:36,43.7454,-127.201416666667,start
99,739506.2715625,11-Sep-2024 06:31:03,43.7160833333333,-127.1325,stop
100,739506.2715625,11-Sep-2024 06:31:03,43.7160833333333,-127.1325,start
100,739506.506087963,11-Sep-2024 12:08:46,43.6949166666667,-127.056666666667,stop
101,739506.506087963,11-Sep-2024 12:08:46,43.6949166666667,-127.056666666667,start
101,739506.749386574,11-Sep-2024 17:59:07,43.67145,-126.99125,stop
102,739506.749386574,11-Sep-2024 17:59:07,43.67145,-126.99125,start
102,739506.986099537,11-Sep-2024 23:39:59,43.6605833333333,-126.92515,stop
103,739506.990590278,11-Sep-2024 23:46:27,43.6598,-126.924166666667,start
103,739507.222210648,12-Sep-2024 05:19:59,43.6265,-126.877966666667,stop
104,739507.222210648,12-Sep-2024 05:19:59,43.6265,-126.877966666667,start
104,739507.45494213,12-Sep-2024 10:55:07,43.6079833333333,-126.812783333333,stop
105,739507.45494213,12-Sep-2024 10:55:07,43.6079833333333,-126.812783333333,start
105,739507.45494213,12-Sep-2024 10:55:07,43.6079833333333,-126.812783333333,stop
