latitude,longitude,dist_km,waypoint,date_time_PDT
41.10931823,-125.7603844,5.209029728,,10/18/2024 19:20
41.0947939,-125.701424,5.209016581,,10/19/2024 2:00
41.08023952,-125.6424897,5.209003408,,10/19/2024 8:40
41.06565512,-125.5835816,5.208990209,,10/19/2024 15:20
41.05104075,-125.5246995,5.208976983,,10/19/2024 22:00
41.03639641,-125.4658437,5.208963731,,10/20/2024 4:40
41.02172216,-125.4070141,5.208950453,,10/20/2024 11:20
41.007018,-125.3482107,5.20893715,,10/20/2024 18:00
40.99228397,-125.2894335,5.208923819,,10/21/2024 0:40
40.9775201,-125.2306827,5.208910463,,10/21/2024 7:20
40.96272642,-125.1719582,5.208897081,,10/21/2024 14:00
40.94790296,-125.11326,5.208883673,,10/21/2024 20:40
40.93304975,-125.0545882,5.20887024,,10/22/2024 3:20
40.9181668,-124.9959428,5.20885678,,10/22/2024 10:00
40.90325417,-124.9373239,5.208843294,,10/22/2024 16:40
40.88831186,-124.8787314,5.208829783,,10/22/2024 23:20
40.87333992,-124.8201653,5.208816246,,10/23/2024 6:00
40.85833837,-124.7616258,5.208802683,,10/23/2024 12:40
40.84330724,-124.7031128,5.208789094,,10/23/2024 19:20
40.82824656,-124.6446264,5.20877548,,10/24/2024 2:00
40.81315636,-124.5861666,5.20876184,,10/24/2024 8:40
40.79803667,-124.5277333,5.208748175,RECV,10/24/2024 15:20
