start,end,sp,id
10/21/2024 12:30:04,10/21/2024 14:37:39,UO,sg680_372
10/21/2024 15:47:50,10/21/2024 15:50:51,Pm,sg680_378
10/21/2024 16:35:42,10/21/2024 16:47:48,Pm,sg680_379
10/21/2024 17:34:07,10/21/2024 17:46:33,Pm,sg680_380
10/21/2024 18:17:44,10/21/2024 18:43:17,Pm,sg680_381
10/21/2024 20:07:32,10/21/2024 20:08:33,Pm,sg680_382
10/21/2024 20:56:00,10/21/2024 21:04:20,Pm,sg680_383
10/21/2024 22:33:52,10/21/2024 22:37:55,Pm,sg680_384
10/21/2024 23:03:10,10/21/2024 23:48:45,Pm,sg680_385
10/22/2024 00:19:32,10/22/2024 00:59:06,Pm,sg680_386
10/22/2024 01:21:24,10/22/2024 01:51:58,Pm,sg680_387
10/22/2024 03:11:37,10/22/2024 05:17:19,UO,sg680_389
10/22/2024 05:42:19,10/22/2024 06:21:34,UO,sg680_391
10/23/2024 04:33:54,10/23/2024 05:48:30,Pm,sg680_395
10/23/2024 06:22:02,10/23/2024 06:32:24,Pm,sg680_396
10/23/2024 07:36:41,10/23/2024 07:43:23,Pm,sg680_397
10/24/2024 05:18:07,10/24/2024 06:12:54,UO,sg680_398
10/24/2024 07:46:08,10/24/2024 08:01:07,UO,sg680_402
10/25/2024 01:49:11,10/25/2024 02:20:08,UO,sg680_403
10/25/2024 07:15:37,10/25/2024 07:16:12,UO,sg680_404
10/25/2024 07:32:19,10/25/2024 07:36:00,UO,sg680_405
